상권_코드,상권_코드_명,상권_구분_코드_명,상권_유형_더미,자치구_코드,자치구_코드_명,면적_km2,log_sales,log_sales_total,유동인구,직장인구,점포_수,개업률,폐업률,경쟁_집중도,식음료_비율
3110165,국립정신건강센터,골목상권,0,11215,광진구,0.095687,16.730809139276392,21.693641489872682,1161297.0,227.0,143.0,3.32175,3.3229750000000005,1.094240837696335,0.2286212914485166
3110166,구의1동주민센터,골목상권,0,11215,광진구,0.13162,17.01066281157207,22.73257370648675,1795068.5,466.0,305.5,3.530775,2.955025,1.0744071954210956,0.29762878168438267
3110167,용마초등학교,골목상권,0,11215,광진구,0.154354,16.98146857823761,22.517743430476536,1485740.0,612.0,253.75,2.9444,2.5648999999999997,1.0816929133858268,0.18700787401574803
3110168,대원고등학교,골목상권,0,11215,광진구,0.058514,16.620412419957983,21.222893399611415,957457.25,533.0,99.75,5.80525,3.79705,1.0825,0.18
3110169,성동초등학교,골목상권,0,11215,광진구,0.0755,16.087832745131017,20.90750085466541,650713.5,809.0,124.0,4.21505,2.216675,1.0301810865191148,0.1529175050301811
3110170,동대부여고,골목상권,0,11215,광진구,0.120727,15.740293499096154,21.05831721165284,2301634.75,358.0,204.0,3.910375,2.574,1.0746634026927784,0.16768665850673195
3110172,광진초등학교,골목상권,0,11215,광진구,0.095499,15.21030118453265,19.965240549076377,1412721.0,648.0,116.25,4.672175,1.977925,1.0321888412017168,0.148068669527897
3110174,아차산역 1번,골목상권,0,11215,광진구,0.103458,16.720899211912148,22.064190217065633,871355.25,710.0,209.25,4.2913,3.366025,1.0787589498806682,0.23269689737470167
3110180,광진정보도서관,골목상권,0,11215,광진구,0.074699,17.375443059343944,22.711724277217066,266778.0,2978.0,207.75,3.4889,3.13975,1.0829326923076923,0.22716346153846154
3110181,신설동역 9번,골목상권,0,11230,동대문구,0.141747,15.457126729413003,20.5506254337706,1097922.25,4015.0,163.0,3.35555,2.3317,1.0336906584992342,0.11944869831546708
3110187,제기동역 6번,골목상권,0,11230,동대문구,0.159981,17.53751935134731,23.13485284939572,2303873.0,2054.0,269.75,3.05015,1.576625,1.087037037037037,0.25925925925925924
3110189,제기동역 1번,골목상권,0,11230,동대문구,0.088499,17.711748741806026,22.13354708417158,957371.0,578.0,83.25,2.70025,2.4099,1.0449101796407185,0.03293413173652695
3110190,고대앞사거리,골목상권,0,11230,동대문구,0.101416,16.852227422383947,21.20244233005147,1473722.25,201.0,77.5,4.504049999999999,3.863025,1.0610932475884245,0.39228295819935693
3110191,고려대역 6번,골목상권,0,11230,동대문구,0.079173,16.47475576820314,21.39997994703175,1072572.0,142.0,137.75,5.0573,3.6153,1.0706521739130435,0.5271739130434783
3110193,고려대역 4번,골목상권,0,11230,동대문구,0.06778,15.972023216645317,20.315786350512163,872962.0,136.0,77.0,4.8536,3.2471,1.080906148867314,0.284789644012945
3110194,홍파초등학교,골목상권,0,11230,동대문구,0.087946,17.014422113683988,21.98591725329669,667048.75,307.0,144.25,2.41995,1.909875,1.0259515570934257,0.06747404844290658
3110195,동대문구청,골목상권,0,11230,동대문구,0.115383,16.819588336400354,22.24228223211812,1458226.5,1195.0,226.5,2.751575,2.76075,1.0507166482910695,0.2701212789415656
3110199,홍릉시장,골목상권,0,11230,동대문구,0.069877,16.046593119146376,21.126410683824577,526231.75,298.0,160.75,3.4163249999999996,3.731775,1.0248447204968945,0.3198757763975155
3110205,경희대삼거리,골목상권,0,11230,동대문구,0.088816,16.55569681221382,22.035291828309397,1823409.0,16.0,239.75,6.8828499999999995,5.633274999999999,1.071875,0.3770833333333333
3110210,서울시립대,골목상권,0,11230,동대문구,0.11097,17.030006198477913,21.714441549107203,1966594.25,766.0,108.25,5.542825,3.46585,1.1682027649769586,0.2995391705069124
3110212,답십리초등학교,골목상권,0,11230,동대문구,0.080982,16.881249807529848,22.164383207367777,835805.25,766.0,197.0,5.32055,4.3153500000000005,1.1432192648922688,0.17110266159695817
