상권_코드,n_images,seg_building,seg_window,seg_sign,seg_road,seg_sidewalk,seg_green,seg_sky,seg_person,seg_car,seg_entropy
3110387,18,0.6507890489366319,0.0004469553629557,0.0334417555067274,0.1419450971815321,0.0622677273220486,0.0104861789279513,0.0464513566758897,0.0017789204915364,0.0201439327663845,1.1322716171788345
3110994,18,0.6071764628092448,0.0014932420518663,0.0481641557481553,0.0950041876898871,0.0474363962809244,0.0173700120713975,0.0485557980007595,0.010600831773546,0.0707715352376302,1.1878794756592554
3110996,18,0.6468942430284288,3.3908420138888887e-06,0.01292970445421,0.1392923990885416,0.0427652994791666,0.0515100691053602,0.0547601911756727,0.0023047129313151,0.0192996131049262,1.1319699227326998
3110997,18,0.5530577765570747,0.0,0.0295429229736328,0.1719782087537977,0.063898934258355,0.0286155276828342,0.0362377166748046,0.002433353000217,0.0954753028021918,1.2330628640410464
3120143,18,0.5672783321804471,0.0052051544189453,0.030760023328993,0.1126713222927517,0.0575275421142578,0.0123513539632161,0.0201117197672526,0.0067823198106553,0.1064749823676215,1.204977869482454
3110174,18,0.6560181511773003,0.0,0.0314108530680338,0.1464949713812934,0.0676990085177951,0.0143193138970269,0.0327775743272569,0.0104278988308376,0.0185820261637369,1.0389508573347406
3110180,18,0.4782570732964409,0.0132041507297092,0.0072182549370659,0.2426463233100043,0.0616806877983941,0.0336740281846788,0.0778244866265191,0.0011859469943576,0.0529119703504774,1.2833907128137214
3120113,18,0.6111878289116753,0.0037176344129774,0.0352800157335069,0.151542239718967,0.0558704800075954,0.0170858171251085,0.0471630096435546,0.0073619418674045,0.0417156219482421,1.1323848150687097
3110821,18,0.6354054345024956,0.0,0.0482550726996527,0.1671168009440104,0.0781158871120876,0.0009810129801432,0.0231906043158637,0.0031761593288845,0.012030283610026,1.0657722891096844
3110757,18,0.5487853156195747,0.0059803856743706,0.054497824774848,0.1374653710259331,0.0557070838080512,0.0056491427951388,0.0728956858317057,0.0015589396158854,0.0561069912380642,1.2580575546063608
3110760,18,0.5418446858723959,0.0009956359863281,0.018561045328776,0.1718279520670572,0.0725953843858507,0.0141781700981987,0.0924646589491102,0.001437505086263,0.0494679345024956,1.2403125033277873
3110424,18,0.6231297387017144,0.0,0.0405741797553168,0.1457559797498915,0.0581633249918619,0.0106697082519531,0.035684585571289,0.0052110883924696,0.0514212714301215,1.1999690917872912
3110428,18,0.6088640424940321,0.0,0.0490237341986762,0.1515418158637153,0.0751713646782769,0.0064267052544487,0.0334332784016927,0.0032846662733289,0.044873555501302,1.1458669155805434
3110981,18,0.5378269619411893,0.0002036624484592,0.0257877773708767,0.1723732418484158,0.0523344675699869,0.045430925157335,0.038951661851671,0.0029646555582682,0.0999202728271484,1.2773688318624306
3110983,18,0.6172911326090494,0.0003172556559244,0.0131448109944661,0.1619913313123915,0.0342689090304904,0.028392579820421,0.0205332438151041,0.0020209418402777,0.1095723046196831,1.1003197272345675
3110403,18,0.5706890953911675,2.755059136284722e-06,0.0490430196126302,0.1853959825303819,0.0804761250813802,0.0039946238199869,0.0513237847222222,0.0073935190836588,0.0387562645806206,1.219433615578186
3110246,18,0.5017060173882378,0.0001250372992621,0.0370248158772786,0.2249567243787977,0.0380469428168402,0.0166863335503472,0.0862021976047092,0.0018507639567057,0.0713931189643012,1.27413445732848
3110787,18,0.5191826290554471,0.0,0.0320152706570095,0.1623242696126302,0.050280041164822,0.0237038930257161,0.0953799353705512,0.004547119140625,0.0865586598714192,1.3210470667315355
