상권_코드,filename,poi_lat,poi_lng,pano_lat,pano_lng,heading,capture_date,capture_year,store_name,success
3110288,37.590477_127.004869_51.jpg,37.590477,127.004869,37.590312,127.004611,51,2018-04,2018,갤러리엘,True
3110288,37.589594_127.005899_342.jpg,37.589594,127.005899,37.589448,127.00596,342,2018-04,2018,성북문화원,True
3110288,37.590486_127.004631_39.jpg,37.590486,127.004631,37.590397,127.004539,39,2018-04,2018,창직교육협회,True
3110288,37.591072_127.004540_164.jpg,37.591072,127.00454,37.591112,127.004526,164,2018-04,2018,보스크커피,True
3110288,37.589792_127.004925_222.jpg,37.589792,127.004925,37.589863,127.005005,222,2018-04,2018,호랑이김밥,True
3110288,37.589405_127.005389_131.jpg,37.589405,127.005389,37.589466,127.005302,131,2018-04,2018,우리생협한성대역점,True
3110288,37.589585_127.005129_234.jpg,37.589585,127.005129,37.58964,127.005223,234,2018-04,2018,짱노래연습장,True
3110288,37.590234_127.004767_85.jpg,37.590234,127.004767,37.590228,127.004683,85,2018-04,2018,테이스트오브에센스컴퍼니,True
3110288,37.590675_127.004337_18.jpg,37.590675,127.004337,37.590612,127.00431,18,2018-04,2018,한성문구,True
3110288,37.589964_127.005152_49.jpg,37.589964,127.005152,37.589863,127.005005,49,2018-04,2018,디터틀,True
3110288,37.591261_127.004722_152.jpg,37.591261,127.004722,37.591271,127.004715,152,2018-04,2018,마미공방,True
3110288,37.591072_127.006601_314.jpg,37.591072,127.006601,37.590968,127.006735,314,2018-04,2018,WOW커리어멘토,True
3110288,37.590756_127.004155_312.jpg,37.590756,127.004155,37.590687,127.004252,312,2018-04,2018,동아철물,True
3110288,37.591315_127.003782_60.jpg,37.591315,127.003782,37.591209,127.003549,60,2014-11,2014,현대카오디오,True
3110288,37.590063_127.004676_257.jpg,37.590063,127.004676,37.590086,127.004805,257,2018-04,2018,성북동참치,True
3110288,37.589513_127.005571_118.jpg,37.589513,127.005571,37.589579,127.005415,118,2014-11,2014,곤드레딱주기,True
3110288,37.591874_127.003555_118.jpg,37.591874,127.003555,37.591927,127.003431,118,2018-04,2018,남희밥상,True
3110288,37.590207_127.004563_258.jpg,37.590207,127.004563,37.590228,127.004683,258,2018-04,2018,두껍다회선생,True
3110289,37.608542_127.005255_161.jpg,37.608542,127.005255,37.608628,127.005217,161,2018-04,2018,미뇽마카롱,True
3110289,37.608740_127.006557_338.jpg,37.60874,127.006557,37.608651,127.006602,338,2018-04,2018,현대전업사,True
3110289,37.606605_127.009094_80.jpg,37.606605,127.009094,37.606585,127.008958,80,2018-04,2018,씨유성북정릉천점,True
3110289,37.607181_127.007758_215.jpg,37.607181,127.007758,37.607342,127.007901,215,2018-04,2018,S.C공조,True
3110289,37.609596_127.007305_31.jpg,37.609596,127.007305,37.609528,127.007253,31,2018-04,2018,삼호전기,True
3110289,37.607263_127.006410_35.jpg,37.607263,127.00641,37.607108,127.006272,35,2018-04,2018,청수세차장,True
3110289,37.608848_127.005753_262.jpg,37.608848,127.005753,37.608868,127.005925,262,2018-04,2018,홍식이불닭발,True
3110289,37.608560_127.006410_159.jpg,37.60856,127.00641,37.608648,127.006366,159,2018-04,2018,꼬꼬치킨,True
3110289,37.609443_127.006070_128.jpg,37.609443,127.00607,37.609484,127.006004,128,2018-04,2018,인수종합건철,True
3110289,37.610002_127.006716_263.jpg,37.610002,127.006716,37.610009,127.006793,263,2018-04,2018,도담+도자;와,True
3110289,37.608470_127.006716_178.jpg,37.60847,127.006716,37.60865,127.006708,178,2018-04,2018,맘쓰밥버거,True
3110289,37.608695_127.006976_19.jpg,37.608695,127.006976,37.608633,127.00695,19,2018-04,2018,반올림,True
3110289,37.609218_127.005334_13.jpg,37.609218,127.005334,37.609102,127.005301,13,2018-04,2018,한모둠순대국남가네설악추어탕,True
3110289,37.608974_127.006014_90.jpg,37.608974,127.006014,37.608974,127.00589,90,2018-04,2018,헤어라인,True
3110289,37.608866_127.006784_292.jpg,37.608866,127.006784,37.608842,127.00686,292,2018-04,2018,사계절보리밥,True
3110289,37.609695_127.005957_70.jpg,37.609695,127.005957,37.609652,127.005811,70,2015-09,2015,동양건재,True
3110289,37.607749_127.005130_92.jpg,37.607749,127.00513,37.607753,127.004975,92,2018-04,2018,애니카랜드정릉점,True
