reg,model,fold,r2,rmse,mae
Ridge,"('ResNet-50', 'top10')",10,0.584455,0.921819,0.665431
Ridge,"('ResNet-50', 'top20')",1,0.569371,0.956505,0.761273
Ridge,"('ResNet-50', 'top20')",2,0.641351,0.947481,0.724276
Ridge,"('ResNet-50', 'top20')",3,0.601028,0.876486,0.711343
Ridge,"('ResNet-50', 'top20')",4,0.614088,0.886866,0.69483
Ridge,"('ResNet-50', 'top20')",5,0.531212,0.974424,0.740638
Ridge,"('ResNet-50', 'top20')",6,0.453078,0.850122,0.686983
Ridge,"('ResNet-50', 'top20')",7,0.546062,0.912404,0.71922
Ridge,"('ResNet-50', 'top20')",8,0.645482,0.861902,0.645789
Ridge,"('ResNet-50', 'top20')",9,0.685221,0.744831,0.569382
Ridge,"('ResNet-50', 'top20')",10,0.566799,0.941198,0.672153
Ridge,"('DINOv2', 'thresh')",1,0.601694,0.919907,0.700047
Ridge,"('DINOv2', 'thresh')",2,0.627357,0.965789,0.727096
Ridge,"('DINOv2', 'thresh')",3,0.669238,0.798053,0.636496
Ridge,"('DINOv2', 'thresh')",4,0.627763,0.871012,0.636271
Ridge,"('DINOv2', 'thresh')",5,0.568529,0.934835,0.691773
Ridge,"('DINOv2', 'thresh')",6,0.3557,0.922704,0.716359
Ridge,"('DINOv2', 'thresh')",7,0.589855,0.867276,0.693856
Ridge,"('DINOv2', 'thresh')",8,0.654718,0.850602,0.653965
Ridge,"('DINOv2', 'thresh')",9,0.729011,0.691083,0.519417
Ridge,"('DINOv2', 'thresh')",10,0.55722,0.951547,0.692221
Ridge,"('DINOv2', 'top5')",1,0.601694,0.919907,0.700047
Ridge,"('DINOv2', 'top5')",2,0.627357,0.965789,0.727096
Ridge,"('DINOv2', 'top5')",3,0.656107,0.81374,0.649654
Ridge,"('DINOv2', 'top5')",4,0.627763,0.871012,0.636271
Ridge,"('DINOv2', 'top5')",5,0.570886,0.932279,0.6859
Ridge,"('DINOv2', 'top5')",6,0.3557,0.922704,0.716359
Ridge,"('DINOv2', 'top5')",7,0.587594,0.869664,0.697899
Ridge,"('DINOv2', 'top5')",8,0.649567,0.856923,0.652466
Ridge,"('DINOv2', 'top5')",9,0.728143,0.692189,0.516961
Ridge,"('DINOv2', 'top5')",10,0.55722,0.951547,0.692221
Ridge,"('DINOv2', 'top10')",1,0.609919,0.91036,0.692959
Ridge,"('DINOv2', 'top10')",2,0.627051,0.966186,0.726226
Ridge,"('DINOv2', 'top10')",3,0.643423,0.82861,0.655799
Ridge,"('DINOv2', 'top10')",4,0.614021,0.886944,0.662005
Ridge,"('DINOv2', 'top10')",5,0.572466,0.930561,0.686788
Ridge,"('DINOv2', 'top10')",6,0.382879,0.903033,0.73073
Ridge,"('DINOv2', 'top10')",7,0.595108,0.861705,0.697006
Ridge,"('DINOv2', 'top10')",8,0.628671,0.882102,0.667957
Ridge,"('DINOv2', 'top10')",9,0.751534,0.661741,0.483221
Ridge,"('DINOv2', 'top10')",10,0.593525,0.911703,0.666308
Ridge,"('DINOv2', 'top20')",1,0.593821,0.928955,0.698816
Ridge,"('DINOv2', 'top20')",2,0.630013,0.962341,0.735213
Ridge,"('DINOv2', 'top20')",3,0.669016,0.79832,0.629918
Ridge,"('DINOv2', 'top20')",4,0.624176,0.875198,0.675161
Ridge,"('DINOv2', 'top20')",5,0.568953,0.934376,0.699902
Ridge,"('DINOv2', 'top20')",6,0.345697,0.92984,0.744836
Ridge,"('DINOv2', 'top20')",7,0.602081,0.854253,0.692149
Ridge,"('DINOv2', 'top20')",8,0.631315,0.878956,0.66588
Ridge,"('DINOv2', 'top20')",9,0.752632,0.660277,0.494853
Ridge,"('DINOv2', 'top20')",10,0.609919,0.893128,0.656045
