reg,model,fold,r2,rmse,mae
Ridge,"('ResNet-50', 'top5')",10,0.499798,1.025854,0.811886
Ridge,"('ResNet-50', 'top10')",1,0.437713,1.034719,0.799196
Ridge,"('ResNet-50', 'top10')",2,0.497543,0.994926,0.769118
Ridge,"('ResNet-50', 'top10')",3,0.443904,1.114482,0.785924
Ridge,"('ResNet-50', 'top10')",4,0.479161,0.910493,0.725457
Ridge,"('ResNet-50', 'top10')",5,0.549317,0.958424,0.780979
Ridge,"('ResNet-50', 'top10')",6,0.467583,1.301557,0.92509
Ridge,"('ResNet-50', 'top10')",7,0.661513,0.850035,0.649992
Ridge,"('ResNet-50', 'top10')",8,0.608137,1.041305,0.77573
Ridge,"('ResNet-50', 'top10')",9,0.562223,0.917392,0.698333
Ridge,"('ResNet-50', 'top10')",10,0.490198,1.035652,0.834148
Ridge,"('ResNet-50', 'top20')",1,0.44845,1.024792,0.787994
Ridge,"('ResNet-50', 'top20')",2,0.467633,1.024111,0.780586
Ridge,"('ResNet-50', 'top20')",3,0.433709,1.124651,0.797867
Ridge,"('ResNet-50', 'top20')",4,0.444353,0.940425,0.756442
Ridge,"('ResNet-50', 'top20')",5,0.557296,0.949903,0.771775
Ridge,"('ResNet-50', 'top20')",6,0.479816,1.286517,0.923556
Ridge,"('ResNet-50', 'top20')",7,0.622469,0.897722,0.68006
Ridge,"('ResNet-50', 'top20')",8,0.615177,1.031909,0.774043
Ridge,"('ResNet-50', 'top20')",9,0.549137,0.931002,0.708131
Ridge,"('ResNet-50', 'top20')",10,0.492928,1.032876,0.810298
Ridge,"('DINOv2', 'thresh')",1,0.497216,0.97844,0.763963
Ridge,"('DINOv2', 'thresh')",2,0.504529,0.987985,0.772282
Ridge,"('DINOv2', 'thresh')",3,0.528932,1.025746,0.742124
Ridge,"('DINOv2', 'thresh')",4,0.399523,0.977626,0.790736
Ridge,"('DINOv2', 'thresh')",5,0.545077,0.962923,0.792613
Ridge,"('DINOv2', 'thresh')",6,0.469381,1.299358,0.914061
Ridge,"('DINOv2', 'thresh')",7,0.659205,0.852928,0.625049
Ridge,"('DINOv2', 'thresh')",8,0.560582,1.102681,0.806312
Ridge,"('DINOv2', 'thresh')",9,0.564852,0.914633,0.715301
Ridge,"('DINOv2', 'thresh')",10,0.495386,1.030369,0.818469
Ridge,"('DINOv2', 'top5')",1,0.469624,1.004929,0.786172
Ridge,"('DINOv2', 'top5')",2,0.51338,0.979121,0.754977
Ridge,"('DINOv2', 'top5')",3,0.544526,1.008625,0.723641
Ridge,"('DINOv2', 'top5')",4,0.383568,0.99053,0.79982
Ridge,"('DINOv2', 'top5')",5,0.545077,0.962923,0.792613
Ridge,"('DINOv2', 'top5')",6,0.452236,1.320183,0.906334
Ridge,"('DINOv2', 'top5')",7,0.666712,0.843481,0.614843
Ridge,"('DINOv2', 'top5')",8,0.560582,1.102681,0.806312
Ridge,"('DINOv2', 'top5')",9,0.584844,0.893375,0.708105
Ridge,"('DINOv2', 'top5')",10,0.501979,1.023616,0.809999
Ridge,"('DINOv2', 'top10')",1,0.496022,0.979601,0.764928
Ridge,"('DINOv2', 'top10')",2,0.50617,0.986348,0.763336
Ridge,"('DINOv2', 'top10')",3,0.532703,1.021632,0.740294
Ridge,"('DINOv2', 'top10')",4,0.377439,0.995442,0.808275
Ridge,"('DINOv2', 'top10')",5,0.571368,0.934684,0.763221
Ridge,"('DINOv2', 'top10')",6,0.472024,1.296118,0.926357
Ridge,"('DINOv2', 'top10')",7,0.656194,0.856687,0.632232
Ridge,"('DINOv2', 'top10')",8,0.556556,1.107721,0.800453
Ridge,"('DINOv2', 'top10')",9,0.565091,0.914381,0.718343
Ridge,"('DINOv2', 'top10')",10,0.491646,1.03418,0.807465
Ridge,"('DINOv2', 'top20')",1,0.502722,0.973067,0.759864
Ridge,"('DINOv2', 'top20')",2,0.508707,0.983811,0.783289
Ridge,"('DINOv2', 'top20')",3,0.528311,1.026421,0.749081
Ridge,"('DINOv2', 'top20')",4,0.411287,0.968003,0.781928
Ridge,"('DINOv2', 'top20')",5,0.554385,0.953021,0.776128
Ridge,"('DINOv2', 'top20')",6,0.474326,1.293288,0.925938
Ridge,"('DINOv2', 'top20')",7,0.630884,0.887661,0.653954
Ridge,"('DINOv2', 'top20')",8,0.533967,1.135584,0.815612
Ridge,"('DINOv2', 'top20')",9,0.523174,0.957433,0.750191
Ridge,"('DINOv2', 'top20')",10,0.496597,1.029132,0.801125
